Distrito ,Lista,Partido,NombreCandidato
12,Partido Ecologista Verde,Partido Ecologista Verde,Monserrat Candia Rocha
12,Partido Ecologista Verde,Partido Ecologista Verde,Ronald Leblebici Garo
12,Partido Ecologista Verde,Partido Ecologista Verde,Rocio Miranda Castillo
12,Partido Ecologista Verde,Partido Ecologista Verde,Ronald Emilio Vargas Diaz
12,Partido Ecologista Verde,Partido Ecologista Verde,Carolina Leiva Garcia
12,Partido Ecologista Verde,Partido Ecologista Verde,Rene Orlando Valdes Lopez
12,Partido Ecologista Verde,Partido Ecologista Verde,Camila Bustamante Alvarez
12,Voces Constituyentes,Independientes,Alondra Carrillo Vidal
12,Voces Constituyentes,Independientes,Lucio Favio Cuenca Berger
12,Voces Constituyentes,Independientes,Valeria Isidora Ortega Contreras
12,Voces Constituyentes,Independientes,Eduardo Enrique Gutierrez Gonzalez
12,Voces Constituyentes,Independientes,Tania Alfaro Campusano
12,Voces Constituyentes,Independientes,Edgar Emilio Esperguel Garcia
12,Independientes por una Nueva Constitución,Independientes,Maria Soledad Cisternas Reyes
12,Independientes por una Nueva Constitución,Independientes,Benito Jose Baranda Ferran
12,Independientes por una Nueva Constitución,Independientes,PAOLA ROMERO LLANOS
12,Independientes por una Nueva Constitución,Independientes,JUAN JOSE MARTIN BRAVO
12,Independientes por una Nueva Constitución,Independientes,IONA RONIT ROTHFELD BASCOLI
12,Independientes por una Nueva Constitución,Independientes,PAVEL ALEJANDRO AYALA LIENQUEO 
12,Independientes por una Nueva Constitución,Independientes,CESAR ANTONIO BARCENAS CATALAN
12,Lista del Apruebo,Independientes,Paulina del Rosario Muñoz Ureta
12,Lista del Apruebo,Partido Demócrata Cristiano,Guillermo Larraín Ríos
12,Lista del Apruebo,Partido por la Democracia,Pía Castelli Fenick
12,Lista del Apruebo,Partido Radical de Chile,Christian Alejandro Muñoz Paredes
12,Lista del Apruebo,Partido Socialista de Chile,Romina Morales Baltra
12,Lista del Apruebo,Ciudadanos,Rodrigo Alfonso Rettig Vargas
